init_lr,lr_decay,decay_k,weight_init,epochs,data,val_accuracy
0.1,exponential,0.5,he-normal,25,z-score,0.965603502188868
0.1,exponential,0.5,he-normal,25,min-max,0.7235772357723578
0.1,exponential,0.5,he-normal,50,z-score,0.9624765478424016
0.1,exponential,0.5,he-normal,50,min-max,0.8361475922451532
0.1,exponential,0.5,he-normal,75,z-score,0.9418386491557224
0.1,exponential,0.5,he-normal,75,min-max,0.8649155722326454
0.1,exponential,0.5,he-uniform,25,z-score,0.9549718574108818
0.1,exponential,0.5,he-uniform,25,min-max,0.7861163227016885
0.1,exponential,0.5,he-uniform,50,z-score,0.9505941213258287
0.1,exponential,0.5,he-uniform,50,min-max,0.7485928705440901
0.1,exponential,0.5,he-uniform,75,z-score,0.9606003752345216
0.1,exponential,0.5,he-uniform,75,min-max,0.8311444652908068
0.1,exponential,0.25,he-normal,25,z-score,0.9768605378361476
0.1,exponential,0.25,he-normal,25,min-max,0.8486554096310194
0.1,exponential,0.25,he-normal,50,z-score,0.9743589743589743
0.1,exponential,0.25,he-normal,50,min-max,0.7886178861788617
0.1,exponential,0.25,he-normal,75,z-score,0.64133833646028768
0.1,exponential,0.25,he-normal,75,min-max,0.8936835522201376
0.1,exponential,0.25,he-uniform,25,z-score,0.9737335834896811
0.1,exponential,0.25,he-uniform,25,min-max,0.9462163852407754
0.1,exponential,0.25,he-uniform,50,z-score,0.9787367104440275
0.1,exponential,0.25,he-uniform,50,min-max,0.9287054409005628
0.1,exponential,0.25,he-uniform,75,z-score,0.9749843652282677
0.1,exponential,0.25,he-uniform,75,min-max,0.892432770481551
0.1,exponential,0.125,he-normal,25,z-score,0.64133833646028768
0.1,exponential,0.125,he-normal,25,min-max,0.9568480300187617
0.1,exponential,0.125,he-normal,50,z-score,0.981863664790494
0.1,exponential,0.125,he-normal,50,min-max,0.9299562226391495
0.1,exponential,0.125,he-normal,75,z-score,0.74133833646028768
0.1,exponential,0.125,he-normal,75,min-max,0.77133833646028768
0.1,exponential,0.125,he-uniform,25,z-score,0.9774859287054409
0.1,exponential,0.125,he-uniform,25,min-max,0.9618511569731082
0.1,exponential,0.125,he-uniform,50,z-score,0.983739837398374
0.1,exponential,0.125,he-uniform,50,min-max,0.9474671669793621
0.1,exponential,0.125,he-uniform,75,z-score,0.9793621013133208
0.1,exponential,0.125,he-uniform,75,min-max,0.9599749843652282
0.1,step,0.5,he-normal,25,z-score,0.9806128830519074
0.1,step,0.5,he-normal,25,min-max,0.9580988117573483
0.1,step,0.5,he-normal,50,z-score,0.975609756097561
0.1,step,0.5,he-normal,50,min-max,0.62133833646028768
0.1,step,0.5,he-normal,75,z-score,0.981863664790494
0.1,step,0.5,he-normal,75,min-max,0.9724828017510945
0.1,step,0.5,he-uniform,25,z-score,0.9781113195747342
0.1,step,0.5,he-uniform,25,min-max,0.9480925578486554
0.1,step,0.5,he-uniform,50,z-score,0.9637273295809882
0.1,step,0.5,he-uniform,50,min-max,0.9731081926203877
0.1,step,0.5,he-uniform,75,z-score,0.9849906191369606
0.1,step,0.5,he-uniform,75,min-max,0.9693558474046279
0.1,step,0.25,he-normal,25,z-score,0.9568480300187617
0.1,step,0.25,he-normal,25,min-max,0.8624140087554721
0.1,step,0.25,he-normal,50,z-score,0.9731081926203877
0.1,step,0.25,he-normal,50,min-max,0.8355222013758599
0.1,step,0.25,he-normal,75,z-score,0.9662288930581614
0.1,step,0.25,he-normal,75,min-max,0.9124452782989368
0.1,step,0.25,he-uniform,25,z-score,0.9568480300187617
0.1,step,0.25,he-uniform,25,min-max,0.8411507191994997
0.1,step,0.25,he-uniform,50,z-score,0.9549718574108818
0.1,step,0.25,he-uniform,50,min-max,0.8868042526579112
0.1,step,0.25,he-uniform,75,z-score,0.9649781113195748
0.1,step,0.25,he-uniform,75,min-max,0.5884928080050031
0.1,step,0.125,he-normal,25,z-score,0.9036898061288305
0.1,step,0.125,he-normal,25,min-max,0.6991869918699187
0.1,step,0.125,he-normal,50,z-score,0.9355847404627893
0.1,step,0.125,he-normal,50,min-max,0.6904315196998124
0.1,step,0.125,he-normal,75,z-score,0.9180737961225766
0.1,step,0.125,he-normal,75,min-max,0.683552220137586
0.1,step,0.125,he-uniform,25,z-score,0.9343339587242027
0.1,step,0.125,he-uniform,25,min-max,0.7448405253283302
0.1,step,0.125,he-uniform,50,z-score,0.8930581613508443
0.1,step,0.125,he-uniform,50,min-max,0.632895559724828
0.1,step,0.125,he-uniform,75,z-score,0.933083176985616
0.1,step,0.125,he-uniform,75,min-max,0.6035021888680425
0.05,exponential,0.5,he-normal,25,z-score,0.906816760475297
0.05,exponential,0.5,he-normal,25,min-max,0.6116322701688556
0.05,exponential,0.5,he-normal,50,z-score,0.9487179487179487
0.05,exponential,0.5,he-normal,50,min-max,0.6691682301438399
0.05,exponential,0.5,he-normal,75,z-score,0.9080675422138836
0.05,exponential,0.5,he-normal,75,min-max,0.7442151344590369
0.05,exponential,0.5,he-uniform,25,z-score,0.9036898061288305
0.05,exponential,0.5,he-uniform,25,min-max,0.758599124452783
0.05,exponential,0.5,he-uniform,50,z-score,0.906816760475297
0.05,exponential,0.5,he-uniform,50,min-max,0.5666041275797373
0.05,exponential,0.5,he-uniform,75,z-score,0.8893058161350844
0.05,exponential,0.5,he-uniform,75,min-max,0.6791744840525328
0.05,exponential,0.25,he-normal,25,z-score,0.9499687304565353
0.05,exponential,0.25,he-normal,25,min-max,0.5597248280175109
0.05,exponential,0.25,he-normal,50,z-score,0.9624765478424016
0.05,exponential,0.25,he-normal,50,min-max,0.8730456535334584
0.05,exponential,0.25,he-normal,75,z-score,0.9618511569731082
0.05,exponential,0.25,he-normal,75,min-max,0.6904315196998124
0.05,exponential,0.25,he-uniform,25,z-score,0.9549718574108818
0.05,exponential,0.25,he-uniform,25,min-max,0.8136335209505942
0.05,exponential,0.25,he-uniform,50,z-score,0.9405878674171357
0.05,exponential,0.25,he-uniform,50,min-max,0.8048780487804879
0.05,exponential,0.25,he-uniform,75,z-score,0.9524702939337085
0.05,exponential,0.25,he-uniform,75,min-max,0.7329580988117573
0.05,exponential,0.125,he-normal,25,z-score,0.9681050656660413
0.05,exponential,0.125,he-normal,25,min-max,0.792995622263915
0.05,exponential,0.125,he-normal,50,z-score,0.9706066291432145
0.05,exponential,0.125,he-normal,50,min-max,0.817385866166354
0.05,exponential,0.125,he-normal,75,z-score,0.9693558474046279
0.05,exponential,0.125,he-normal,75,min-max,0.9018136335209506
0.05,exponential,0.125,he-uniform,25,z-score,0.9668542839274546
0.05,exponential,0.125,he-uniform,25,min-max,0.9312070043777361
0.05,exponential,0.125,he-uniform,50,z-score,0.9681050656660413
0.05,exponential,0.125,he-uniform,50,min-max,0.9024390243902439
0.05,exponential,0.125,he-uniform,75,z-score,0.9612257661038149
0.05,exponential,0.125,he-uniform,75,min-max,0.9405878674171357
0.05,step,0.5,he-normal,25,z-score,0.9668542839274546
0.05,step,0.5,he-normal,25,min-max,0.868042526579112
0.05,step,0.5,he-normal,50,z-score,0.9712320200125079
0.05,step,0.5,he-normal,50,min-max,0.9243277048155097
0.05,step,0.5,he-normal,75,z-score,0.9737335834896811
0.05,step,0.5,he-normal,75,min-max,0.9355847404627893
0.05,step,0.5,he-uniform,25,z-score,0.9737335834896811
0.05,step,0.5,he-uniform,25,min-max,0.9130706691682301
0.05,step,0.5,he-uniform,50,z-score,0.967479674796748
0.05,step,0.5,he-uniform,50,min-max,0.9105691056910569
0.05,step,0.5,he-uniform,75,z-score,0.9768605378361476
0.05,step,0.5,he-uniform,75,min-max,0.9305816135084428
0.05,step,0.25,he-normal,25,z-score,0.9293308317698562
0.05,step,0.25,he-normal,25,min-max,0.5947467166979362
0.05,step,0.25,he-normal,50,z-score,0.9437148217636022
0.05,step,0.25,he-normal,50,min-max,0.6185115697310819
0.05,step,0.25,he-normal,75,z-score,0.9193245778611632
0.05,step,0.25,he-normal,75,min-max,0.7367104440275172
0.05,step,0.25,he-uniform,25,z-score,0.9487179487179487
0.05,step,0.25,he-uniform,25,min-max,0.726078799249531
0.05,step,0.25,he-uniform,50,z-score,0.9437148217636022
0.05,step,0.25,he-uniform,50,min-max,0.6754221388367729
0.05,step,0.25,he-uniform,75,z-score,0.9393370856785491
0.05,step,0.25,he-uniform,75,min-max,0.7379612257661038
0.05,step,0.125,he-normal,25,z-score,0.8861788617886179
0.05,step,0.125,he-normal,25,min-max,0.6372732958098811
0.05,step,0.125,he-normal,50,z-score,0.7998749218261413
0.05,step,0.125,he-normal,50,min-max,0.5284552845528455
0.05,step,0.125,he-normal,75,z-score,0.8123827392120075
0.05,step,0.125,he-normal,75,min-max,0.6541588492808005
0.05,step,0.125,he-uniform,25,z-score,0.8755472170106317
